count_named_entities,count_number_date_time,future_tense,count_dictionary_words,subjectivity
35,0,0,0,1
8,0,0,0,1
86,0,0,0,1
21,1,0,0,0
82,1,0,0,0
20,1,0,0,1
123,0,0,0,1
15,0,0,0,0
39,0,0,0,1
51,0,0,0,0
39,1,0,0,0
41,0,0,0,0
70,0,0,0,1
82,0,0,0,0
188,0,0,0,1
39,0,0,0,1
129,0,2,0,0
61,0,0,0,0
9,0,0,0,0
29,0,0,0,0
75,0,0,0,0
11,1,0,0,0
22,0,0,0,0
38,0,0,0,0
8,0,1,0,0
23,0,2,0,0
12,0,0,0,0
38,1,0,0,0
83,0,0,0,1
21,0,0,0,1
41,0,0,0,0
48,0,0,0,1
73,0,3,0,0
64,0,0,0,0
159,2,1,0,1
14,1,0,0,0
102,0,0,0,1
130,1,0,0,1
119,0,0,0,1
158,0,0,0,1
37,2,0,0,0
20,0,0,0,1
114,0,0,0,1
18,1,0,0,1
27,0,0,0,1
25,0,0,0,1
39,0,0,0,1
34,1,0,0,1
31,1,0,0,1
23,0,0,0,1
21,0,0,0,1
9,0,0,0,0
113,0,1,0,1
44,1,0,0,0
47,0,0,0,0
40,0,0,0,1
33,0,0,0,0
17,0,0,0,1
11,1,0,0,0
19,0,0,0,1
28,1,0,0,0
32,0,0,0,0
71,0,0,0,1
61,0,0,0,1
21,0,0,0,0
22,0,0,0,1
225,0,0,0,1
11,0,0,0,0
117,0,0,0,1
17,1,0,0,0
157,2,0,0,0
74,0,0,0,1
38,0,0,0,1
43,1,0,0,0
3,0,1,0,0
17,0,0,0,1
44,1,0,0,0
16,0,0,0,1
75,1,0,0,1
34,0,0,0,1
68,0,0,0,1
22,1,0,0,1
9,0,0,0,0
31,0,0,0,1
36,1,0,0,1
25,1,0,0,1
210,0,2,0,1
74,1,1,0,0
67,0,0,0,0
55,0,0,0,0
40,0,0,0,1
57,0,0,0,0
55,1,0,0,1
63,1,0,0,1
97,2,0,0,1
94,0,0,0,1
45,0,0,0,1
34,1,0,0,1
63,1,0,0,1
45,0,0,0,1
38,0,0,0,0
84,0,0,0,0
69,0,0,0,0
70,0,0,0,1
90,0,0,0,0
52,0,0,0,1
38,0,0,0,1
69,0,0,0,1
43,0,0,0,1
42,1,0,0,0
55,0,0,0,1
21,1,0,0,1
91,0,0,0,0
42,0,0,0,1
75,0,0,0,0
39,0,0,0,0
95,0,1,0,0
99,0,0,0,0
67,0,0,0,1
43,0,0,0,1
32,0,0,0,1
15,0,0,0,1
20,0,0,0,1
68,1,0,0,0
36,0,0,0,1
110,0,0,0,0
69,2,0,0,0
53,0,0,0,0
18,0,0,0,0
77,0,0,0,0
10,0,0,0,0
12,0,0,0,0
103,0,0,0,1
60,0,0,0,1
32,0,0,0,1
17,1,0,0,0
68,1,1,0,1
64,1,1,0,1
53,1,0,0,0
64,0,0,0,1
44,0,0,0,1
25,0,0,0,1
55,1,1,0,0
39,0,0,0,0
29,0,0,0,1
9,1,0,0,0
19,0,0,0,1
22,0,0,0,0
89,0,0,0,1
16,1,0,0,1
98,0,0,0,1
19,0,0,0,1
47,0,0,0,1
38,0,0,0,1
48,0,0,0,1
66,1,0,0,1
61,0,0,0,1
46,0,0,0,1
41,0,0,0,1
68,0,0,0,1
42,0,1,0,0
36,0,0,0,1
32,0,0,0,1
43,0,0,0,1
56,0,0,0,0
35,0,0,0,0
80,0,0,0,0
29,0,0,0,1
59,0,0,0,1
14,1,0,0,1
119,4,0,0,0
93,0,0,0,1
15,1,0,0,1
20,0,0,0,1
28,0,0,0,0
19,0,0,0,1
97,1,0,0,1
